1512760082,53550.0,0.008
1512760092,53599.0,0.851
1512760092,53550.0,2.189
1512760099,53599.0,0.09
1512760099,53638.74,0.408
1512760104,53638.74,0.30
1512760111,53630.54,0.144
1512760114,53630.54,0.001
1512760114,53630.54,0.186
1512760116,53630.54,3.695
1512760121,53630.54,0.032
1512760122,53630.54,0.025
1512760124,53630.54,4.623
1512760126,53630.54,5.262
1512760127,53638.74,0.037
1512760131,53630.54,0.013
1512760131,53638.74,0.872
1512760144,53638.74,0.01
1512760146,53800.0,0.007
1512760146,53800.0,0.146
1512760146,53638.74,0.029
1512760147,53638.74,0.008
1512760148,53800.0,0.083
1512760148,53800.0,0.028
1512760148,53800.0,0.001
1512760149,53650.0,0.019
1512760149,53638.74,0.023
1512760151,53638.74,0.042
1512760152,53638.74,0.033
1512760154,53800.0,0.012
1512760161,53800.0,0.004
1512760162,53800.0,0.001
1512760162,53639.0,0.005
1512760179,53900.0,0.004
1512760179,53900.0,0.005
1512760180,53802.0,0.006
1512760181,53650.0,0.009
1512760181,53802.0,0.024
1512760204,53900.0,0.007
1512760210,53957.65,0.639
1512760210,53900.0,0.061
1512760210,53908.02,0.00
1512760214,53638.74,0.001
1512760214,53638.73,0.00
1512760214,53650.0,0.233
1512760214,53639.0,0.002
1512760214,53700.02,0.011
1512760214,53638.73,0.00
1512760214,53563.0,0.644
1512760214,53639.0,0.011
1512760236,53950.0,0.004
1512760236,53899.99,0.003
1512760236,53899.99,0.002
1512760245,53899.99,0.01
1512760245,53899.99,0.002
1512760245,53950.0,0.081
1512760277,53564.0,0.121
1512760277,53700.0,0.021
1512760287,53888.0,0.006
1512760300,53888.0,0.001
1512760303,53899.98,0.002
1512760303,53899.98,0.00
1512760303,53899.98,0.00
1512760303,53899.98,0.002
1512760303,53899.98,0.00
1512760303,53899.99,0.001
1512760303,53888.0,0.044
1512760313,53899.99,0.001
1512760313,53888.0,0.049
1512760323,53700.0,0.032
1512760323,53800.0,0.021
1512760327,53899.99,0.00
1512760327,53950.0,0.065
1512760327,53899.99,0.00
1512760327,53899.99,0.00
1512760327,53899.99,0.004
1512760331,53700.0,0.00
1512760333,53700.0,0.00
1512760335,53700.0,0.00
1512760337,53700.0,0.00
1512760340,53700.0,0.00
1512760343,53700.0,0.00
1512760355,53800.02,0.055
1512760361,53950.0,0.07
